,data,domain,cat
4454,photo/dog/056_0071.jpg,photo,dog
8905,sketch/guitar/n03467517_23229-3.png,sketch,guitar
1791,art_painting/person/pic_221.jpg,art_painting,person
4516,photo/dog/n02103406_5035.jpg,photo,dog
2749,cartoon/elephant/pic_328.jpg,cartoon,elephant
5801,photo/person/253_0157.jpg,photo,person
6597,sketch/dog/n02106662_18953-1.png,sketch,dog
4101,cartoon/person/pic_106.jpg,cartoon,person
6521,sketch/dog/n02103406_936-3.png,sketch,dog
2627,cartoon/elephant/pic_186.jpg,cartoon,elephant
336,art_painting/dog/pic_366.jpg,art_painting,dog
6662,sketch/dog/n02106662_27393-4.png,sketch,dog
7401,sketch/elephant/n02503517_7031-4.png,sketch,elephant
6503,sketch/dog/n02103406_8421-1.png,sketch,dog
5191,photo/horse/105_0089.jpg,photo,horse
8054,sketch/giraffe/n02439033_15005-2.png,sketch,giraffe
7644,sketch/giraffe/7433.png,sketch,giraffe
1628,art_painting/person/pic_032.jpg,art_painting,person
5717,photo/person/253_0360.jpg,photo,person
9916,sketch/person/12170.png,sketch,person
8103,sketch/giraffe/n02439033_2677-1.png,sketch,giraffe
3767,cartoon/house/pic_089.jpg,cartoon,house
6527,sketch/dog/n02103406_936-9.png,sketch,dog
2181,cartoon/dog/pic_136.jpg,cartoon,dog
1185,art_painting/horse/pic_099.jpg,art_painting,horse
3804,cartoon/house/pic_278.jpg,cartoon,house
200,art_painting/dog/pic_213.jpg,art_painting,dog
1461,art_painting/house/pic_168.jpg,art_painting,house
6131,sketch/dog/5351.png,sketch,dog
7392,sketch/elephant/n02503517_7020-2.png,sketch,elephant
2036,art_painting/person/pic_560.jpg,art_painting,person
1010,art_painting/guitar/pic_104.jpg,art_painting,guitar
7760,sketch/giraffe/n02439033_11130-3.png,sketch,giraffe
1761,art_painting/person/pic_186.jpg,art_painting,person
3879,cartoon/house/pic_223.jpg,cartoon,house
9063,sketch/horse/n02374451_10669-6.png,sketch,horse
1546,art_painting/house/pic_278.jpg,art_painting,house
9730,sketch/horse/n02374451_925-7.png,sketch,horse
5956,photo/person/253_0321.jpg,photo,person
8040,sketch/giraffe/n02439033_14872-6.png,sketch,giraffe
2347,cartoon/dog/pic_339.jpg,cartoon,dog
6001,photo/person/253_0369.jpg,photo,person
9269,sketch/horse/n02374451_14425-10.png,sketch,horse
7694,sketch/giraffe/n02439033_10453-3.png,sketch,giraffe
2843,cartoon/elephant/pic_442.jpg,cartoon,elephant
5915,photo/person/253_0278.jpg,photo,person
5820,photo/person/253_0177.jpg,photo,person
800,art_painting/giraffe/pic_170.jpg,art_painting,giraffe
3100,cartoon/giraffe/pic_220.jpg,cartoon,giraffe
4194,cartoon/person/pic_226.jpg,cartoon,person
5087,photo/guitar/n02676566_5489.jpg,photo,guitar
9175,sketch/horse/n02374451_12328-8.png,sketch,horse
2968,cartoon/giraffe/pic_084.jpg,cartoon,giraffe
6953,sketch/elephant/n02503517_10259-4.png,sketch,elephant
3600,cartoon/horse/pic_251.jpg,cartoon,horse
4244,cartoon/person/pic_285.jpg,cartoon,person
2470,cartoon/elephant/pic_038.jpg,cartoon,elephant
3617,cartoon/horse/pic_268.jpg,cartoon,horse
5625,photo/house/pic_286.jpg,photo,house
6312,sketch/dog/n02103406_3743-4.png,sketch,dog
4782,photo/elephant/n02503517_9827.jpg,photo,elephant
166,art_painting/dog/pic_174.jpg,art_painting,dog
4985,photo/guitar/063_0026.jpg,photo,guitar
9791,sketch/house/8839.png,sketch,house
4669,photo/elephant/064_0093.jpg,photo,elephant
1009,art_painting/guitar/pic_103.jpg,art_painting,guitar
7533,sketch/elephant/n02503517_9154-3.png,sketch,elephant
8061,sketch/giraffe/n02439033_15005-9.png,sketch,giraffe
5546,photo/house/pic_198.jpg,photo,house
2206,cartoon/dog/pic_169.jpg,cartoon,dog
6693,sketch/dog/n02106662_8511-2.png,sketch,dog
3199,cartoon/giraffe/pic_340.jpg,cartoon,giraffe
2213,cartoon/dog/pic_177.jpg,cartoon,dog
7436,sketch/elephant/n02503517_759-5.png,sketch,elephant
8544,sketch/guitar/n02676566_6914-3.png,sketch,guitar
2882,cartoon/elephant/pic_487.jpg,cartoon,elephant
9478,sketch/horse/n02374451_276-1.png,sketch,horse
2440,cartoon/elephant/pic_004.jpg,cartoon,elephant
5375,photo/house/pic_028.jpg,photo,house
4076,cartoon/person/pic_098.jpg,cartoon,person
2195,cartoon/dog/pic_152.jpg,cartoon,dog
8386,sketch/guitar/7662.png,sketch,guitar
1655,art_painting/person/pic_066.jpg,art_painting,person
1630,art_painting/person/pic_034.jpg,art_painting,person
8443,sketch/guitar/n02676566_2866-1.png,sketch,guitar
6949,sketch/elephant/n02503517_10193-9.png,sketch,elephant
7200,sketch/elephant/n02503517_4253-5.png,sketch,elephant
5045,photo/guitar/063_0091.jpg,photo,guitar
7409,sketch/elephant/n02503517_7083-4.png,sketch,elephant
1747,art_painting/person/pic_167.jpg,art_painting,person
7461,sketch/elephant/n02503517_8137-5.png,sketch,elephant
2616,cartoon/elephant/pic_175.jpg,cartoon,elephant
